feature,model,permutation_importance_mean,permutation_importance_sd,tree_importance,R2,MAE
Msoil,direct_equation_audit_light,1.3438701200605885,0.029183319751891888,0.5438400780506637,0.9975655827561004,0.0018651276184049994
MRI,direct_equation_audit_light,0.6604509844301598,0.01691162121553278,0.20905279589874448,0.9975655827561004,0.0018651276184049994
Cd_total_factor,direct_equation_audit_light,0.6400789987670065,0.013269724484972836,0.24710712605059193,0.9975655827561004,0.0018651276184049994
