fragment_id,particle_size_um,Cd_total_mg_kg,mean_CMI,background_mean_CMI,median_CMI,background_median_CMI,log2FC_CMI,p_value,n_group_sample,n_background_sample,P_mobilization_or_higher,P_aging_amplified,rank,q_value_raw,q_value,minus_log10_q,volcano_class,point_label
PE_F,25,10.0,0.014570411398411523,0.10830904160629916,0.0110355400033479,0.0744308175644171,-2.8940400801610586,0.0,2500,2500,0.0,0.0,23,0.0,0.0,300.0,reduced mobilization risk,PE_F | 25 µm | Cd 10.0
PE_F,25,5.0,0.012122277389300367,0.09011085618790232,0.0091813383578097,0.0619248827062385,-2.894040062854627,0.0,2500,2500,0.0,0.0,24,0.0,0.0,300.0,reduced mobilization risk,PE_F | 25 µm | Cd 5.0
PE_F,1000,10.0,0.0016170839448773314,0.09561593693120635,0.0012247694368061,0.06581208982193275,-5.885783746564456,0.0,2500,2500,0.0,0.0,25,0.0,0.0,300.0,reduced mobilization risk,PE_F | 1000 µm | Cd 10.0
PE_F,1000,5.0,0.0013453800037330533,0.07955045870868803,0.0010189825424228,0.0547542815762907,-5.885783569437405,0.0,2500,2500,0.0,0.0,26,0.0,0.0,300.0,reduced mobilization risk,PE_F | 1000 µm | Cd 5.0
PE_F,1000,2.0,0.0009862069304428132,0.05831305168853999,0.0007469470651781,0.040136654188499446,-5.885783185502888,0.0,2500,2500,0.0,0.0,27,0.0,0.0,300.0,reduced mobilization risk,PE_F | 1000 µm | Cd 2.0
PE_F,1000,1.0,0.0007145029892985349,0.04224757346602168,0.0005411601707948,0.02907884594285745,-5.88578263862534,0.0,2500,2500,0.0,0.0,28,0.0,0.0,300.0,reduced mobilization risk,PE_F | 1000 µm | Cd 1.0
PE_F,1000,0.6,0.0005142665328758452,0.03040786876219922,0.0003895023099041,0.020929621718931903,-5.885781865736752,0.0,2500,2500,0.0,0.0,29,0.0,0.0,300.0,reduced mobilization risk,PE_F | 1000 µm | Cd 0.6
PE_F,1000,0.3,0.00024256259173157272,0.014342390539680906,0.0001837154155209,0.0098718134732899,-5.885778776513413,0.0,2500,2500,0.0,0.0,30,0.0,0.0,300.0,reduced mobilization risk,PE_F | 1000 µm | Cd 0.3
PE_F,500,10.0,0.004051037809450972,0.09800099446087998,0.0030682311280617,0.06753028744733765,-4.596432592309829,0.0,2500,2500,0.0,0.0,31,0.0,0.0,300.0,reduced mobilization risk,PE_F | 500 µm | Cd 10.0
PE_F,500,5.0,0.003370378687183954,0.08153477666468587,0.002552704094059,0.05618378604636125,-4.596432523361273,0.0,2500,2500,0.0,0.0,32,0.0,0.0,300.0,reduced mobilization risk,PE_F | 500 µm | Cd 5.0
PE_F,500,2.0,0.002470596270417807,0.05976762074336258,0.001871214424137,0.041184527065731696,-4.596432373910736,0.0,2500,2500,0.0,0.0,33,0.0,0.0,300.0,reduced mobilization risk,PE_F | 500 µm | Cd 2.0
PE_F,500,1.0,0.0017899371481507884,0.043301402947168444,0.0013556873901343,0.029838025664755248,-4.596432161032869,0.0,2500,2500,0.0,0.0,34,0.0,0.0,300.0,reduced mobilization risk,PE_F | 500 µm | Cd 1.0
PE_F,25,0.6,0.004633695718872842,0.034444541659341646,0.0035095326460403,0.0236705574928411,-2.8940398963922176,0.0,2500,2500,0.0,0.0,35,0.0,0.0,300.0,reduced mobilization risk,PE_F | 25 µm | Cd 0.6
PE_F,25,0.3,0.0021855617097616877,0.01624635624094483,0.0016553310005021,0.011164622634662499,-2.894039594554961,0.0,2500,2500,0.0,0.0,36,0.0,0.0,300.0,reduced mobilization risk,PE_F | 25 µm | Cd 0.3
PE_F,10,10.0,0.017787923393651105,0.11146191616269736,0.0134724638048672,0.07664717627232355,-2.647580790474445,0.0,2500,2500,0.0,0.0,37,0.0,0.0,300.0,reduced mobilization risk,PE_F | 10 µm | Cd 10.0
PE_F,10,5.0,0.01479918004106405,0.09273398184312533,0.0112088079666518,0.06376884677264524,-2.6475807767089217,0.0,2500,2500,0.0,0.0,38,0.0,0.0,300.0,reduced mobilization risk,PE_F | 10 µm | Cd 5.0
PE_F,10,2.0,0.010848276234871366,0.0679769993068778,0.0082164177169591,0.0467446211918037,-2.647580746871241,0.0,2500,2500,0.0,0.0,39,0.0,0.0,300.0,reduced mobilization risk,PE_F | 10 µm | Cd 2.0
PE_F,10,1.0,0.007859532882284305,0.049249064987305725,0.0059527618787437,0.0338662916921254,-2.647580704370339,0.0,2500,2500,0.0,0.0,40,0.0,0.0,300.0,reduced mobilization risk,PE_F | 10 µm | Cd 1.0
PE_F,25,2.0,0.008886020262607097,0.06605416360735406,0.0067302171089864,0.04539293606438105,-2.894040025341794,0.0,2500,2500,0.0,0.0,41,0.0,0.0,300.0,reduced mobilization risk,PE_F | 25 µm | Cd 2.0
PE_F,25,1.0,0.006437886253495942,0.04785597818895724,0.0048760154634483,0.0328870012062025,-2.8940399719083785,0.0,2500,2500,0.0,0.0,42,0.0,0.0,300.0,reduced mobilization risk,PE_F | 25 µm | Cd 1.0
PET_COOH,1000,0.3,0.018191554179855015,0.008456003239475773,0.0137781712805135,0.0036086597666002,1.1052208778376156,9.254128099247439e-176,2500,2500,0.0004,0.0,43,3.6155663271478365e-175,3.2389506798047466e-175,174.4895956650345,enriched mobilization risk,PET_COOH | 1000 µm | Cd 0.3
PET_COOH,1000,0.6,0.03856863265234825,0.017927906512328978,0.0292116452220299,0.00765086212696645,1.1052209260776642,9.254131474814479e-176,2500,2500,0.0704,0.0,44,3.5333956540200736e-175,3.2389506798047466e-175,174.4895956650345,enriched mobilization risk,PET_COOH | 1000 µm | Cd 0.6
PET_COOH,1000,1.0,0.053585838396200645,0.024908373335692086,0.0405855845153882,0.01062982619121385,1.1052209381467597,9.254133962076892e-176,2500,2500,0.1496,0.0036,45,3.454876679175373e-175,3.2389506798047466e-175,174.4895956650345,enriched mobilization risk,PET_COOH | 1000 µm | Cd 1.0
PET_COOH,1000,2.0,0.07396291686869388,0.0343802766085453,0.0560190584569047,0.01467202855158015,1.105220946686561,9.254136271678331e-176,2500,2500,0.2748,0.0252,46,3.379771507917304e-175,3.2389506798047466e-175,174.4895956650345,enriched mobilization risk,PET_COOH | 1000 µm | Cd 2.0
PET_COOH,1000,5.0,0.10089994939320716,0.04690145165698552,0.0764210012619072,0.0200155294169684,1.1052209526819128,9.254140890883473e-176,2500,2500,0.3908,0.0808,47,3.3078631269540925e-175,3.2389506798047466e-175,174.4895956650345,enriched mobilization risk,PET_COOH | 1000 µm | Cd 5.0
PET_COOH,1000,10.0,0.1212770278657004,0.05637335492983873,0.0918544752034236,0.024057731777334702,1.10522095544785,9.254144799442134e-176,2500,2500,0.462,0.1236,48,3.2389506798047466e-175,3.2389506798047466e-175,174.4895956650345,enriched mobilization risk,PET_COOH | 1000 µm | Cd 10.0
PET_COOH,500,0.3,0.018556647259541065,0.008813761868926816,0.0140546905342018,0.00370849096499675,1.0741061643463619,1.1320375071704412e-164,2500,2500,0.0004,0.0,49,3.881271453155798e-164,3.521902949404299e-164,163.4532226157506,enriched mobilization risk,PET_COOH | 500 µm | Cd 0.3
PET_COOH,500,0.6,0.03934268091315705,0.01868640471545584,0.0297979046153377,0.007862518194399499,1.074106209751909,1.1320377309927992e-164,2500,2500,0.074,0.0,50,3.803646776135805e-164,3.521902949404299e-164,163.4532226157506,enriched mobilization risk,PET_COOH | 500 µm | Cd 0.6
PET_COOH,500,1.0,0.05466127255505292,0.02596220281683885,0.0414001117347278,0.0109238933396989,1.074106221111846,1.132038260027733e-164,2500,2500,0.1608,0.004,51,3.72906720950312e-164,3.521902949404299e-164,163.4532226157506,enriched mobilization risk,PET_COOH | 500 µm | Cd 1.0
PET_COOH,500,2.0,0.0754473062086689,0.03583484566336788,0.0571433258158636,0.0150779205691016,1.0741062291498629,1.1320386873253263e-164,2500,2500,0.2836,0.0288,52,3.6573557590510544e-164,3.521902949404299e-164,163.4532226157506,enriched mobilization risk,PET_COOH | 500 µm | Cd 2.0
PET_COOH,500,5.0,0.10292494807665807,0.04888576961298335,0.0779547228135434,0.02056924587057615,1.0741062347929382,1.1320392367081826e-164,2500,2500,0.3988,0.0844,53,3.5883507880561264e-164,3.521902949404299e-164,163.4532226157506,enriched mobilization risk,PET_COOH | 500 µm | Cd 5.0
PET_COOH,500,10.0,0.12371098173027403,0.05875841245951236,0.0936979368946793,0.02472327309997885,1.074106237396354,1.132040233737096e-164,2500,2500,0.4712,0.1276,54,3.521902949404299e-164,3.521902949404299e-164,163.4532226157506,enriched mobilization risk,PET_COOH | 500 µm | Cd 10.0
PET_COOH,250,0.3,0.018921740339227115,0.009171520498377862,0.0143312097878902,0.00397501285620075,1.0448118709065983,1.4920743422848344e-153,2500,2500,0.0004,0.0,55,4.5576089000700394e-153,4.1778156446901204e-153,152.3790507281327,enriched mobilization risk,PET_COOH | 250 µm | Cd 0.3
PET_COOH,250,1.0,0.055736706713905175,0.027016032297985625,0.0422146389540673,0.0117089718904322,1.044811924445513,1.4920749169999343e-153,2500,2500,0.166,0.0052,56,4.4762247509998033e-153,4.1778156446901204e-153,152.3790507281327,enriched mobilization risk,PET_COOH | 250 µm | Cd 1.0
PET_COOH,250,0.6,0.04011672917396584,0.019444902918582703,0.0303841640086455,0.008427581784570301,1.0448119137312788,1.4920749919626788e-153,2500,2500,0.08,0.0,57,4.3976947131531583e-153,4.1778156446901204e-153,152.3790507281327,enriched mobilization risk,PET_COOH | 250 µm | Cd 0.6
PET_COOH,250,2.0,0.0769316955486439,0.03728941471819046,0.0582675931748226,0.016161540818801702,1.0448119320266471,1.4920758915170134e-153,2500,2500,0.2896,0.0316,58,4.3218749961182457e-153,4.1778156446901204e-153,152.3790507281327,enriched mobilization risk,PET_COOH | 250 µm | Cd 2.0
PET_COOH,250,10.0,0.1261449355948477,0.06114346998918601,0.0955413985859349,0.026500085708005452,1.0448119398044047,1.4920769409977409e-153,2500,2500,0.4796,0.1312,59,4.248625865891872e-153,4.1778156446901204e-153,152.3790507281327,enriched mobilization risk,PET_COOH | 250 µm | Cd 10.0
PET_COOH,250,5.0,0.10494994676010899,0.05087008756898117,0.0794884443651796,0.0220475167796359,1.044811937348968,1.4920770159607572e-153,2500,2500,0.4052,0.0872,60,4.1778156446901204e-153,4.1778156446901204e-153,152.3790507281327,enriched mobilization risk,PET_COOH | 250 µm | Cd 5.0
PET_COOH,100,0.3,0.01940436713851305,0.009644451681837595,0.0146967483581181,0.0044026895321244,1.0086101821854419,7.713081514224654e-141,2500,2500,0.0004,0.0,61,2.1242585153930193e-140,1.9633329729884853e-140,139.70700603964178,enriched mobilization risk,PET_COOH | 100 µm | Cd 0.3
PET_COOH,100,0.6,0.04113996531672768,0.02044758300321768,0.0311591567715506,0.009334316000052651,1.0086102219367268,7.71308506467341e-141,2500,2500,0.0844,0.0,62,2.0899972433308595e-140,1.9633329729884853e-140,139.70700603964178,enriched mobilization risk,PET_COOH | 100 µm | Cd 0.6
