fragment_id,polymer,condition,n_MC,CMI_MC_mean,CMI_MC_median,CMI_MC_p05,CMI_MC_p25,CMI_MC_p75,CMI_MC_p90,CMI_MC_p95,CMI_MC_max,P_MC_mobilization_or_higher,P_MC_aging_amplified,MRI_MC_mean,Msoil_MC_mean,Cd_factor_MC_mean,interpretation_flag
PET_COOH,PET,oxidized,100000,0.07208859577901766,0.042587538677748255,0.0030005866791979353,0.01543607530119251,0.0972386911964408,0.17954240207218097,0.24271067405125427,0.7460136139193769,0.24263,0.04646,0.7987134219277863,0.16252204143454546,0.5542031593852186,descriptor usable
PE_COOH,PE,oxidized,100000,0.053462436524580936,0.03139432204377923,0.002210210003950872,0.011362130670289065,0.07184395685449398,0.13246938604952557,0.1802649975787069,0.6401118690441179,0.16245,0.01917,0.5928453193992503,0.1625058823050537,0.5541196895355852,use geometry/relative-stability descriptor; raw Eads excluded
PET_F,PET,fresh,100000,0.051895070227032866,0.03058567142843458,0.002164615700056074,0.011065829954644587,0.07005216317204749,0.12862860661150657,0.17440198638246351,0.5813720236765073,0.15621,0.01651,0.5753561022963836,0.1624656769709332,0.554146663925129,descriptor usable
PE_F,PE,fresh,100000,0.005309740967674263,0.0024096032491030964,0.00012362162243250742,0.0007629235082429555,0.006535041266968932,0.013997319280681738,0.020567423349880824,0.11379493570291732,2e-05,0.0,0.05872713818273245,0.16246717892829984,0.5542632000363774,use geometry/relative-stability descriptor; raw Eads excluded
