fragment_id,polymer,condition,complex_id,selection_role,descriptor_source,QC_descriptor_class,aging_score,oxidation_score,polarity_score,expected_reactivity,DFT_Eads_kcal_mol,raw_Eads_score,contact_vs_reference_delta_kcal_mol,contact_stability_score,geom_Cd_MP_O_min_A,geom_Cd_O_contacts_2p9A,contact_count_score,contact_distance_score,contact_geometry_score,DFT_gap_eV,DFT_dipole_D,DFT_Cd_mulliken_charge,electronic_descriptor_score,safe_molecular_reactivity_score_raw,safe_molecular_reactivity_score,molecular_reactivity_class,xyz_path,dft_log_path
PET_COOH,PET,oxidized,PET_COOH_CdH2O6_pose03,Cd_O_contact_bound,usable_raw_Eads_plus_relative_stability,usable_contact_descriptor,2,3,0.9,very_high,-6.765655366210521,0.4510436910807014,5.557965500070834,0.6903676250551088,2.396404596530099,2,1.0,0.9999680821733072,0.9999856369779883,3.375607723888211,66.71791662501026,0.4896726985068618,0.7785013070325622,0.7366420974349888,0.8166006836959552,high molecular reactivity,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/selected_structures_QC/PET_COOH_CdH2O6_pose03_Cd_O_contact_bound.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/dft_logs/PET_COOH_CdH2O6_pose03_dft.log
PET_F,PET,fresh,PET_F_CdH2O6_pose01,Cd_O_contact_bound,usable_raw_Eads_plus_relative_stability,usable_contact_descriptor,0,1,0.6,moderate,-9.06524220992296,0.6043494806615307,0.5510463689266312,0.9639301701538047,2.418730611847845,2,1.0,0.999134113811557,0.9996103512152007,3.591016383925593,59.14405587104503,0.4782415581506569,0.6271436170369065,0.8342210691316202,1.0,high molecular reactivity,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/selected_structures_QC/PET_F_CdH2O6_pose01_Cd_O_contact_bound.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/dft_logs/PET_F_CdH2O6_pose01_dft.log
PE_COOH,PE,oxidized,PE_COOH_CdH2O6_pose01,Cd_O_contact_bound,geometry_plus_relative_stability_only_Eads_excluded,rerun_required_Eads_artifact,2,3,0.7,high,-126.40770354533484,,120.85229716020362,0.0003169331116278011,2.3582976833277205,2,1.0,0.9957151735445086,0.9980718280950289,2.9209652863071867,46.03121439014019,0.4019853426245419,0.6,0.48937135113824415,0.35185623082548706,low-to-moderate molecular reactivity,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/selected_structures_QC/PE_COOH_CdH2O6_pose01_Cd_O_contact_bound.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/dft_logs/PE_COOH_CdH2O6_pose01_dft.log
PE_F,PE,fresh,PE_F_CdH2O6_pose03,weak_surface_contact_control,geometry_plus_relative_stability_only_Eads_excluded,rerun_required_Eads_artifact,0,0,0.1,low,-538.8071949566507,,6.704855384344604,0.639550074175287,,0,0.0,0.0,0.0,5.766606368161334,50.98433165908423,0.5343796777352807,0.09577393656481277,0.30216362386360107,0.0,low molecular reactivity,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/selected_structures_QC/PE_F_CdH2O6_pose03_weak_surface_contact_control.xyz,/content/drive/MyDrive/Article1_MP_Cd_Soil_Computation/05_dft_refinement/dft_logs/PE_F_CdH2O6_pose03_dft.log
