fragment_condition,particle_size_class,MRI_class,Msoil_class,Cd_loading_class,CMI_regime,count,CMI_mean,CMI_max,fraction
PET_F | fresh,medium MP,high MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,129,0.20453920970592882,0.2460651806245188,3.999255952380953e-05
PET_F | fresh,small MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,2580,0.34558894903088194,0.4696965647541353,0.0007998511904761905
PET_F | fresh,small MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,1290,0.0565927232228775,0.0704544847131203,0.0003999255952380952
PET_F | fresh,small MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,1290,0.11998446813281427,0.1493733362606226,0.0003999255952380952
PET_F | fresh,small MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,278,0.2616698447366653,0.2864526661297446,8.618551587301587e-05
PET_F | fresh,small MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,2302,0.19140554324088993,0.2499688791437849,0.0007136656746031746
PET_F | fresh,small MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,43848,0.06098942296728134,0.0999956530754582,0.01359375
PET_F | fresh,small MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,31356,0.01403892622064462,0.0299978796374524,0.009720982142857142
PET_F | fresh,small MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,4866,0.10971099523012762,0.1253167733052093,0.0015085565476190476
PET_F | fresh,small MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,5774,0.03409559067394452,0.039853356236092,0.0017900545634920635
PET_F | fresh,small MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,74296,0.009940792338602381,0.0299785726835383,0.023033234126984128
PET_F | fresh,small MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,31360,0.04605013590494329,0.076426626289772,0.009722222222222222
PET_F | fresh,small MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,48710,0.01358845854308401,0.0299997992576682,0.015101066468253968
PET_F | fresh,small MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,conditional retention,112,0.09916213928412128,0.0999915322670618,3.472222222222222e-05
PET_F | fresh,small MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,22028,0.14632972275642822,0.2191967449747606,0.006829117063492063
PET_F | fresh,small MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,12109,0.049156045696297467,0.0697091517190207,0.003754030257936508
PET_F | fresh,small MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,10031,0.023270606834335968,0.0299994603573212,0.0031098090277777777
PET_F | fresh,small MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,17445,0.07615484922681726,0.0999948260065467,0.005408296130952381
PET_F | fresh,small MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,4695,0.11333714793510768,0.1336809691973143,0.0014555431547619048
PET_F | fresh,small MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,3642,0.2801480550908815,0.3446301264121379,0.001129092261904762
PET_F | fresh,small MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,6378,0.2152036760047238,0.2499384220765914,0.0019773065476190476
PET_F | fresh,small MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,9566,0.05901489640411378,0.0999986738625293,0.0029656498015873016
PET_F | fresh,small MP,high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,454,0.10277881205297737,0.1095995917812339,0.00014074900793650794
PET_F | fresh,small MP,high MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,887,0.09663025441643192,0.0999918896029742,0.0002749875992063492
PET_F | fresh,small MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,9133,0.1408835381497977,0.2101787109962436,0.0028314112103174603
PET_F | fresh,small MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,390,0.45288673849964123,0.6266666666666666,0.0001209077380952381
PET_F | fresh,small MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,195,0.07416352263316033,0.0939999999999999,6.045386904761905e-05
PET_F | fresh,small MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,195,0.15723701407601612,0.1992931133578178,6.045386904761905e-05
PET_F | fresh,small MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,206,0.2993413879910946,0.3821836285629896,6.38640873015873e-05
PET_F | fresh,small MP,high MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,184,0.21615907729273953,0.249147834956,5.70436507936508e-05
PE_COOH | oxidized,large MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,860,0.3192748761394748,0.4190747617380243,0.00026661706349206347
PE_COOH | oxidized,large MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,482,0.057412011172487815,0.0999636367326187,0.0001494295634920635
PE_COOH | oxidized,large MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,378,0.11250628347603836,0.1332745436113669,0.0001171875
PE_COOH | oxidized,large MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,16,0.2527993309699964,0.2555800740641624,4.96031746031746e-06
PE_COOH | oxidized,large MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,844,0.1820283919167131,0.2491715154880792,0.000261656746031746
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,14682,0.06779270149566326,0.0999831336129425,0.004551711309523809
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,11132,0.013697488731671712,0.029992272996108,0.003451140873015873
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,876,0.10572003315566184,0.1118106898272694,0.000271577380952381
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,1296,0.0327366214981834,0.0355581390675986,0.0004017857142857143
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,25394,0.013410238548372769,0.0299987560513462,0.00787264384920635
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,9395,0.04587855311033355,0.0681897050271012,0.002912636408730159
PE_COOH | oxidized,large MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,17295,0.019637225679089917,0.0299987744316941,0.005361793154761905
PE_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,conditional retention,506,0.09645503696762475,0.0999854658416105,0.00015687003968253968
PE_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,6874,0.13979808259954807,0.1955726964324994,0.002131076388888889
PE_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,3690,0.047590659853564435,0.0621962099358769,0.0011439732142857143
PE_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,3690,0.022446947367434286,0.0293359044648749,0.0011439732142857143
PE_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,6361,0.07316363896059112,0.0999008482097759,0.0019720362103174604
PE_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,1019,0.10932418354342271,0.1192734299527989,0.00031591021825396826
PE_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,660,0.2738140015301198,0.3074874268869993,0.00020461309523809524
PE_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,2680,0.20743072637057344,0.249710634355205,0.0008308531746031746
PE_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,3252,0.05719134868623672,0.0977874361000444,0.0010081845238095238
PE_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,88,0.02965223299005947,0.0299632882874295,2.7281746031746032e-05
PE_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,678,0.09299736558358132,0.0999868916523483,0.00021019345238095237
PE_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,2662,0.13516137522422156,0.1875265859763357,0.0008252728174603175
PE_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,130,0.4132478857196493,0.5591273254467273,4.0302579365079364e-05
PE_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,65,0.06767236997755266,0.083869098817009,2.0151289682539682e-05
PE_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,65,0.14347486490562333,0.177814189550598,2.0151289682539682e-05
PE_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,65,0.2751411905476405,0.3409935798956646,2.0151289682539682e-05
PE_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,65,0.1993386956195698,0.2470484891620756,2.0151289682539682e-05
PE_COOH | oxidized,large MP,moderate MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,847,0.3121378964125697,0.4077934249147804,0.00026258680555555557
PE_COOH | oxidized,large MP,moderate MRI,high soil mobilization potential,high Cd loading,mobilization regime,13,0.24942450528994886,0.2497875781618494,4.030257936507937e-06
PE_COOH | oxidized,large MP,moderate MRI,high soil mobilization potential,low Cd loading,conditional retention,539,0.06038278381089158,0.0999812501138345,0.00016710069444444444
PE_COOH | oxidized,large MP,moderate MRI,high soil mobilization potential,low Cd loading,mobilization regime,321,0.1116017835067164,0.1296868424331608,9.951636904761904e-05
PE_COOH | oxidized,large MP,moderate MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,860,0.17864985519858625,0.248699953464989,0.00026661706349206347
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,high Cd loading,conditional retention,14664,0.046306316197118544,0.0999906655604214,0.0045461309523809525
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,11382,0.01438928330051309,0.029984502439935,0.0035286458333333333
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,high Cd loading,mobilization regime,644,0.10447242082020346,0.108800787615193,0.0001996527777777778
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,low Cd loading,conditional retention,1093,0.03227638428578361,0.0346009271802359,0.00033885168650793653
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,25597,0.007080553073567955,0.0299843776601154,0.007935577876984127
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,moderate Cd loading,conditional retention,9013,0.043519981490098045,0.0663540635126898,0.0027942088293650795
PE_COOH | oxidized,large MP,moderate MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,17677,0.011477949523619139,0.0299950047141689,0.005480220734126984
PE_COOH | oxidized,large MP,moderate MRI,low-to-moderate soil mobilization potential,high Cd loading,conditional retention,736,0.0952698934970481,0.0999748095358002,0.0002281746031746032
PE_COOH | oxidized,large MP,moderate MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,6644,0.13546955025050558,0.1903079521354799,0.0020597718253968253
PE_COOH | oxidized,large MP,moderate MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,3690,0.045641550959500156,0.0605219110816442,0.0011439732142857143
PE_COOH | oxidized,large MP,moderate MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,3690,0.021527616874999805,0.0285461928203219,0.0011439732142857143
PE_COOH | oxidized,large MP,moderate MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,6523,0.07124673414996283,0.0999759488713981,0.0020222594246031744
PE_COOH | oxidized,large MP,moderate MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,857,0.10761216735529953,0.1160626335503129,0.00026568700396825397
PE_COOH | oxidized,large MP,moderate MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,500,0.2724634013889008,0.2992099796428884,0.00015500992063492063
PE_COOH | oxidized,large MP,moderate MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,2840,0.20389809719560031,0.2499070822449497,0.0008804563492063492
PE_COOH | oxidized,large MP,moderate MRI,moderate soil mobilization potential,low Cd loading,conditional retention,3100,0.056678653676244375,0.0951550346661072,0.0009610615079365079
PE_COOH | oxidized,large MP,moderate MRI,moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,240,0.029318724904531433,0.0299756075062385,7.440476190476191e-05
PE_COOH | oxidized,large MP,moderate MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,791,0.09162669813777356,0.0999596245952745,0.00024522569444444445
PE_COOH | oxidized,large MP,moderate MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,2549,0.13266713191028193,0.1824784399821979,0.0007902405753968253
PE_COOH | oxidized,large MP,moderate MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,130,0.40780754347229625,0.5440758256635282,4.0302579365079364e-05
PE_COOH | oxidized,large MP,moderate MRI,very high soil mobilization potential,low Cd loading,conditional retention,65,0.06678147406231703,0.0816113738495292,2.0151289682539682e-05
PE_COOH | oxidized,large MP,moderate MRI,very high soil mobilization potential,low Cd loading,mobilization regime,65,0.14158604128195243,0.1730274976583136,2.0151289682539682e-05
PE_COOH | oxidized,large MP,moderate MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,65,0.2715190008289523,0.3318141594662102,2.0151289682539682e-05
PE_COOH | oxidized,large MP,moderate MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,65,0.1967144336093169,0.2403980356574258,2.0151289682539682e-05
PE_COOH | oxidized,medium MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,1720,0.3341248729072144,0.4452692146558018,0.0005332341269841269
PE_COOH | oxidized,medium MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,860,0.05471539673749055,0.0667903821983702,0.00026661706349206347
PE_COOH | oxidized,medium MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,860,0.11600427408960304,0.1416049277731041,0.00026661706349206347
PE_COOH | oxidized,medium MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,96,0.25828547835806603,0.2715552193795963,2.9761904761904762e-05
PE_COOH | oxidized,medium MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,1624,0.1878847918486285,0.2499756787491791,0.0005034722222222222
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,29471,0.06483341865901565,0.0999981123551119,0.009136594742063492
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,21532,0.019553740975247504,0.0299979484136854,0.006675347222222222
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,2377,0.10870963189364906,0.1187994663363533,0.0007369171626984127
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,3249,0.033631261449525246,0.0377807162416262,0.0010072544642857142
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,50131,0.012580707688514416,0.0299897396995402,0.015541604662698412
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,19887,0.046252667004761244,0.0724519326315546,0.0061653645833333335
PE_COOH | oxidized,medium MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,33493,0.018173965926029066,0.029998732566933,0.010383494543650793
PE_COOH | oxidized,medium MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,conditional retention,433,0.09869679539340503,0.0999946974888283,0.00013423859126984126
PE_COOH | oxidized,medium MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,14327,0.14331463274925516,0.207797054128147,0.004441654265873016
PE_COOH | oxidized,medium MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,7604,0.048665167302696266,0.0660838114847575,0.002357390873015873
PE_COOH | oxidized,medium MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,7156,0.023008221841913486,0.0299934323216363,0.0022185019841269842
PE_COOH | oxidized,medium MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,12165,0.07487821845617615,0.0999799933124159,0.003771391369047619
PE_COOH | oxidized,medium MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,2595,0.11174148654155605,0.1267286683266944,0.0008045014880952381
PE_COOH | oxidized,medium MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,1865,0.27704341751292094,0.3267070641970483,0.000578187003968254
PE_COOH | oxidized,medium MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,4815,0.2120717107405285,0.2499805080729222,0.0014927455357142856
PE_COOH | oxidized,medium MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,6584,0.05822153320615647,0.0999844466023011,0.002041170634920635
PE_COOH | oxidized,medium MP,high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,96,0.10118659858449247,0.1038996829465248,2.9761904761904762e-05
PE_COOH | oxidized,medium MP,high MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,970,0.09518959637375989,0.0999501985728646,0.00030071924603174605
PE_COOH | oxidized,medium MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,5710,0.13847622895462358,0.1992480179872173,0.0017702132936507937
PE_COOH | oxidized,medium MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,260,0.4378278144869996,0.5940758256635282,8.060515873015873e-05
PE_COOH | oxidized,medium MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,130,0.07169751345933799,0.0891113738495292,4.0302579365079364e-05
PE_COOH | oxidized,medium MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,130,0.152008730609846,0.1889285439368629,4.0302579365079364e-05
PE_COOH | oxidized,medium MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,134,0.2903601226702448,0.3623075340855977,4.154265873015873e-05
PE_COOH | oxidized,medium MP,high MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,126,0.20984355423921608,0.2450036121519812,3.90625e-05
PE_COOH | oxidized,small MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,2580,0.35554630101946394,0.4827450043968232,0.0007998511904761905
PE_COOH | oxidized,small MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,1290,0.0582233125883732,0.0724117506595234,0.0003999255952380952
PE_COOH | oxidized,small MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,1290,0.12344154506108859,0.1535230131130474,0.0003999255952380952
PE_COOH | oxidized,small MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,374,0.2650189880303583,0.2944104852942036,0.00011594742063492063
PE_COOH | oxidized,small MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,2206,0.19458866505469805,0.2499353061547674,0.0006839037698412699
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,43280,0.06140236830609064,0.0999946454139823,0.01341765873015873
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,30696,0.014056380230125069,0.0299965907159034,0.009516369047619048
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,6094,0.11052602164359973,0.1287981450575136,0.0018892609126984128
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,6376,0.034648831112571235,0.0409605053030166,0.001976686507936508
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,73694,0.01013094664884967,0.0299906248748247,0.022846602182539682
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,32406,0.04687355600915746,0.0785498017504194,0.010046502976190476
PE_COOH | oxidized,small MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,47664,0.013608493965500679,0.029998872701879,0.014776785714285715
PE_COOH | oxidized,small MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,22140,0.15012875773376055,0.225286156120814,0.006863839285714286
PE_COOH | oxidized,small MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,12578,0.04977510379427512,0.0716457118878709,0.0038994295634920636
PE_COOH | oxidized,small MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,9562,0.023609529348043713,0.0299995161821567,0.002964409722222222
PE_COOH | oxidized,small MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,16865,0.07755732772846738,0.0999937295836389,0.005228484623015873
PE_COOH | oxidized,small MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,5275,0.11488024797134093,0.1373947031030759,0.0016353546626984127
PE_COOH | oxidized,small MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,4244,0.28302648922426576,0.3542041487512082,0.0013157242063492063
PE_COOH | oxidized,small MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,5776,0.21809598620395282,0.2499894733651121,0.0017906746031746033
PE_COOH | oxidized,small MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,9326,0.05969086245579236,0.0999954802125925,0.0028912450396825396
PE_COOH | oxidized,small MP,high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,694,0.10411868075042607,0.1126443312269424,0.00021515376984126985
PE_COOH | oxidized,small MP,high MRI,moderate soil mobilization potential,moderate Cd loading,conditional retention,461,0.0977967572748063,0.0999986319146922,0.00014291914682539682
PE_COOH | oxidized,small MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,9559,0.14298580674769887,0.2160175959922367,0.002963479662698413
PE_COOH | oxidized,small MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,390,0.4659356299032805,0.6440758256635282,0.0001209077380952381
PE_COOH | oxidized,small MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,195,0.07630037423574312,0.0966113738495292,6.045386904761905e-05
PE_COOH | oxidized,small MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,195,0.1617674375724243,0.2048295902154122,6.045386904761905e-05
PE_COOH | oxidized,small MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,213,0.3065190694754584,0.3928009087049852,6.603422619047619e-05
PE_COOH | oxidized,small MP,high MRI,very high soil mobilization potential,moderate Cd loading,mobilization regime,177,0.22155788268915533,0.2488879306278157,5.487351190476191e-05
PE_F | fresh,large MP,low MRI,high soil mobilization potential,high Cd loading,immobilization-dominant regime,1720,0.011792622102634948,0.0187764947714481,0.0005332341269841269
PE_F | fresh,large MP,low MRI,high soil mobilization potential,low Cd loading,immobilization-dominant regime,1720,0.003012694843746626,0.0059713182461947,0.0005332341269841269
PE_F | fresh,large MP,low MRI,high soil mobilization potential,moderate Cd loading,immobilization-dominant regime,1720,0.0067699826015166584,0.0114511737820948,0.0005332341269841269
PE_F | fresh,large MP,low MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,53380,0.001801791389828893,0.0050096379563084,0.016548859126984127
PE_F | fresh,large MP,low MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,53380,0.0004602996494358429,0.0015931696996407,0.016548859126984127
PE_F | fresh,large MP,low MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,53380,0.0010343837235298541,0.0030552153381843,0.016548859126984127
PE_F | fresh,large MP,low MRI,low-to-moderate soil mobilization potential,high Cd loading,immobilization-dominant regime,14760,0.00528852917296432,0.0087625646955528,0.004575892857142857
PE_F | fresh,large MP,low MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,14760,0.0013510756498194706,0.0027866789348553,0.004575892857142857
PE_F | fresh,large MP,low MRI,low-to-moderate soil mobilization potential,moderate Cd loading,immobilization-dominant regime,14760,0.0030360720607320825,0.0053440033577622,0.004575892857142857
PE_F | fresh,large MP,low MRI,moderate soil mobilization potential,high Cd loading,immobilization-dominant regime,6680,0.008393403137811735,0.0137768641549428,0.0020709325396825397
PE_F | fresh,large MP,low MRI,moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,6680,0.0021442866679431665,0.0043813310900206,0.0020709325396825397
PE_F | fresh,large MP,low MRI,moderate soil mobilization potential,moderate Cd loading,immobilization-dominant regime,6680,0.0048185376174993445,0.0084020615951416,0.0020709325396825397
PE_F | fresh,large MP,low MRI,very high soil mobilization potential,high Cd loading,immobilization-dominant regime,260,0.014467290674894582,0.025051499783199,8.060515873015873e-05
PE_F | fresh,large MP,low MRI,very high soil mobilization potential,low Cd loading,immobilization-dominant regime,260,0.003696000061725026,0.0079669011479943,8.060515873015873e-05
PE_F | fresh,large MP,low MRI,very high soil mobilization potential,moderate Cd loading,immobilization-dominant regime,260,0.008305473143096487,0.0152780953533318,8.060515873015873e-05
PE_F | fresh,medium MP,low MRI,high soil mobilization potential,high Cd loading,conditional retention,682,0.03383536081541525,0.0449709476892257,0.00021143353174603175
PE_F | fresh,medium MP,low MRI,high soil mobilization potential,high Cd loading,immobilization-dominant regime,1038,0.02579167872036933,0.0299877164157365,0.0003218005952380952
PE_F | fresh,medium MP,low MRI,high soil mobilization potential,low Cd loading,immobilization-dominant regime,1720,0.007320294113506107,0.0143017024079319,0.0005332341269841269
PE_F | fresh,medium MP,low MRI,high soil mobilization potential,moderate Cd loading,immobilization-dominant regime,1720,0.01644981199781576,0.0274263190975287,0.0005332341269841269
PE_F | fresh,medium MP,low MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,53380,0.00554703982221713,0.0119984144653923,0.016548859126984127
PE_F | fresh,medium MP,low MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,53380,0.0014171181035909312,0.0038157468736683,0.016548859126984127
PE_F | fresh,medium MP,low MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,53380,0.0031844794787360287,0.0073174429426377,0.016548859126984127
PE_F | fresh,medium MP,low MRI,low-to-moderate soil mobilization potential,high Cd loading,immobilization-dominant regime,14760,0.012898082845983086,0.0209869223912004,0.004575892857142857
PE_F | fresh,medium MP,low MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,14760,0.003295073115824978,0.006674280483736,0.004575892857142857
PE_F | fresh,medium MP,low MRI,low-to-moderate soil mobilization potential,moderate Cd loading,immobilization-dominant regime,14760,0.007404529440199915,0.0127992417316577,0.004575892857142857
PE_F | fresh,medium MP,low MRI,moderate soil mobilization potential,high Cd loading,conditional retention,244,0.031177722117353673,0.0329965014649919,7.564484126984127e-05
PE_F | fresh,medium MP,low MRI,moderate soil mobilization potential,high Cd loading,immobilization-dominant regime,6436,0.019896764008526854,0.0299736840588329,0.0019952876984126984
PE_F | fresh,medium MP,low MRI,moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,6680,0.005174280061392315,0.0104935779365011,0.0020709325396825397
PE_F | fresh,medium MP,low MRI,moderate soil mobilization potential,moderate Cd loading,immobilization-dominant regime,6680,0.011627392685890785,0.0201234936060233,0.0020709325396825397
PE_F | fresh,medium MP,low MRI,very high soil mobilization potential,high Cd loading,conditional retention,202,0.03882075276460337,0.06,6.262400793650794e-05
PE_F | fresh,medium MP,low MRI,very high soil mobilization potential,high Cd loading,immobilization-dominant regime,58,0.02681871259686064,0.0296589274739039,1.7981150793650793e-05
